Project,CommitID,Developer,Title,Summary,IssueKey,IssueType,CreatedDate,ResolvedDate,PatternChanges
Cassandra,dd40656405f2d90232532e112e4a714d9c6606f8,Unassigned,[CASSANDRA-706] final classes are so lame,final classes are so lame,CASSANDRA-706,Improvement,Fri- 15 Jan 2010 20:52:49 +0000,Sat- 16 Jan 2010 00:21:14 +0000,2 instances of the Flyweight Pattern were ADDED,
Cassandra,fbda616f682362053f3a11b9f4bbdd725c9b38fa,Gary Dusbabek,[CASSANDRA-819] refactor database descriptor so that KS and CF descriptions are contained within serializable classes.,refactor database descriptor so that KS and CF descriptions are contained within serializable classes.,CASSANDRA-819,Sub-task,Mon- 22 Feb 2010 17:25:13 +0000,Tue- 23 Feb 2010 21:48:50 +0000,2 instances of the Strategy Pattern were ADDED,
Cassandra,c924ce55eb25e712a71ec57b09ab79ea098c7323,Jon Hermes,[CASSANDRA-1105] Create timers to reload cassandra-rack.properties and datacenters.properties,Create timers to reload cassandra-rack.properties and datacenters.properties,CASSANDRA-1105,Task,Wed- 19 May 2010 05:34:38 +0000,Thu- 27 May 2010 13:31:01 +0000,1 instances of the Flyweight Pattern were REMOVED,
Cassandra,f0a396947afcd40d8ee397c1b4515d0b9c9c4304,Stu Hood,[CASSANDRA-1117] Clean up MMAP support,Clean up MMAP support,CASSANDRA-1117,Improvement,Sun- 23 May 2010 20:13:32 +0000,Sun- 6 Jun 2010 04:30:55 +0000,2 instances of the Factory Pattern were ADDED,2 instances of the Method Pattern were ADDED,
Cassandra,5531a7f5db05adad04d393b4ccffb6d87d806ec9,Sylvain Lebresne,[CASSANDRA-1130] Row iteration can stomp start-of-row mark,Row iteration can stomp start-of-row mark,CASSANDRA-1130,Bug,Tue- 25 May 2010 18:13:16 +0000,Mon- 14 Jun 2010 18:06:50 +0000,1 instances of the Factory Pattern were ADDED,1 instances of the Method Pattern were ADDED,
Cassandra,c2d748c061f58ad5fa0e022ae6116fd92a1a93f3,Stu Hood,[CASSANDRA-1186] futureproof [KS|CF]MetaData,futureproof [KS|CF]MetaData,CASSANDRA-1186,Improvement,Sun- 13 Jun 2010 04:37:47 +0000,Wed- 21 Jul 2010 15:15:29 +0000,2 instances of the Flyweight Pattern were ADDED,
Cassandra,3991fba440756ce5174f54dd544302a0591e61c8,Pavel Yaskevich,[CASSANDRA-1470] Avoid polluting page cache during compaction,Avoid polluting page cache during compaction,CASSANDRA-1470,Improvement,Sun- 5 Sep 2010 02:42:28 +0000,Fri- 24 Dec 2010 16:57:31 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,29a373bb798ca5dd5a3beb62ea5cc7879a707d5a,Pavel Yaskevich,[CASSANDRA-1714] zero-copy reads,zero-copy reads,CASSANDRA-1714,Improvement,Fri- 5 Nov 2010 18:48:05 +0000,Sat- 15 Jan 2011 02:10:41 +0000,1 instances of the Method Pattern were ADDED,
Cassandra,f6b726632c782363c206371938922278c1550664,Brandon Williams,[CASSANDRA-2115] Keep endpoint state until aVeryLongTime,Keep endpoint state until aVeryLongTime,CASSANDRA-2115,Improvement,Sat- 5 Feb 2011 22:08:31 +0000,Thu- 10 Feb 2011 22:35:32 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,dc9992a391f01ef79b74b5d9fc69fb7390184ecf,Jonathan Ellis,[CASSANDRA-2069] Read repair causes tremendous GC pressure,Read repair causes tremendous GC pressure,CASSANDRA-2069,Bug,Thu- 27 Jan 2011 21:14:02 +0000,Tue- 15 Feb 2011 17:15:55 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,4db44a486b4c496465a3f73048c709c224dfa830,Matthew F. Dennis,[CASSANDRA-2174] saved caches written with BufferedRandomAccessFile cannot be read by ObjectInputStream,saved caches written with BufferedRandomAccessFile cannot be read by ObjectInputStream,CASSANDRA-2174,Bug,Wed- 16 Feb 2011 04:35:55 +0000,Wed- 16 Feb 2011 21:38:31 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,d222de26747e2b6bde3323dc1f8755d36c8c9174,Chris Goffinet,[CASSANDRA-2178] Memtable Flush writers doesn't actually flush in parallel,Memtable Flush writers doesn't actually flush in parallel,CASSANDRA-2178,Bug,Thu- 17 Feb 2011 01:45:52 +0000,Thu- 17 Feb 2011 02:44:35 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,581d885e0851835cbedb88a665915272eebd038b,Patrik Modesto,[CASSANDRA-2014] Can't delete whole row from Hadoop MapReduce,Can't delete whole row from Hadoop MapReduce,CASSANDRA-2014,Bug,Thu- 20 Jan 2011 08:55:30 +0000,Thu- 17 Feb 2011 15:09:07 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,af1b67b97238b71fe0e441e60644d3e3105c5898,Pavel Yaskevich,[CASSANDRA-2137] stress.java should have a way to specify the replication strategy,stress.java should have a way to specify the replication strategy,CASSANDRA-2137,Improvement,Tue- 8 Feb 2011 14:58:27 +0000,Thu- 17 Feb 2011 20:33:35 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,59ac1c4b004b51bde91a0d6373d6d99022fb8b1a,Pavel Yaskevich,[CASSANDRA-2147] stress.java doesn't read more unique rows than 2x the number of threads,stress.java doesn't read more unique rows than 2x the number of threads,CASSANDRA-2147,Bug,Wed- 9 Feb 2011 19:02:24 +0000,Fri- 18 Feb 2011 22:48:58 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,9efe2f795157267fac53b6791734ca7a7a51fe31,Jonathan Ellis,[CASSANDRA-2211] Cleanup can create sstables whose contents do not match their advertised version,Cleanup can create sstables whose contents do not match their advertised version,CASSANDRA-2211,Bug,Mon- 21 Feb 2011 23:28:02 +0000,Tue- 22 Feb 2011 14:53:19 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,b419eb05c6b2ce5edcf9a2848a84e5f7c57193f1,Chris Goffinet,[CASSANDRA-2236] Cli does not support updating replicate_on_write,Cli does not support updating replicate_on_write,CASSANDRA-2236,Bug,Thu- 24 Feb 2011 08:46:02 +0000,Thu- 24 Feb 2011 18:11:11 +0000,1 instances of the Factory Pattern were ADDED,1 instances of the Method Pattern were ADDED,
Cassandra,53286d56f084270a457d8698785a189b8b410cc3,Sylvain Lebresne,[CASSANDRA-2104] IndexOutOfBoundsException during lazy row compaction of supercolumns,IndexOutOfBoundsException during lazy row compaction of supercolumns,CASSANDRA-2104,Bug,Thu- 3 Feb 2011 10:08:28 +0000,Thu- 24 Feb 2011 19:09:55 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,079276622158fdfabe0cd8f727e55e0f963a388a,Jonathan Ellis,[CASSANDRA-2241] BRAF read can loop infinitely instead of detecting EOF,BRAF read can loop infinitely instead of detecting EOF,CASSANDRA-2241,Bug,Thu- 24 Feb 2011 18:53:49 +0000,Fri- 25 Feb 2011 15:00:51 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,12074044273f40e5f0a448792e3678a9f99bdb07,Stephen Connolly,[CASSANDRA-2243] fix "ant codecoverage",fix "ant codecoverage",CASSANDRA-2243,Bug,Thu- 24 Feb 2011 19:05:52 +0000,Sun- 27 Feb 2011 02:42:10 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,7364c09843942bba7ef4ed363b91b54e6251b56d,Sylvain Lebresne,[CASSANDRA-2093] add countercolumn support to SSTableExport,add countercolumn support to SSTableExport,CASSANDRA-2093,New Feature,Tue- 1 Feb 2011 21:07:21 +0000,Mon- 28 Feb 2011 19:23:12 +0000,1 instances of the Factory Pattern were ADDED,1 instances of the Method Pattern were ADDED,
Cassandra,96d0a86fd983d840dee7c88b998f6ae80c847b89,Jeremy Hanna,[CASSANDRA-2255] ColumnFamilyOutputFormat drops mutations when batches fill up.,ColumnFamilyOutputFormat drops mutations when batches fill up.,CASSANDRA-2255,Bug,Mon- 28 Feb 2011 21:06:16 +0000,Tue- 1 Mar 2011 02:52:25 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,f659c6759dd2ec99472dfb194f82dedad3b5ae45,Jeremy Hanna,[CASSANDRA-2255] ColumnFamilyOutputFormat drops mutations when batches fill up.,ColumnFamilyOutputFormat drops mutations when batches fill up.,CASSANDRA-2255,Bug,Mon- 28 Feb 2011 21:06:16 +0000,Tue- 1 Mar 2011 02:52:25 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,b065aac226069077d265801e18dc20a6f2b964e6,Unassigned,[CASSANDRA-1954] Double-check or replace RRW memtable lock,Double-check or replace RRW memtable lock,CASSANDRA-1954,Improvement,Sat- 8 Jan 2011 03:34:32 +0000,Sat- 11 Jun 2011 14:08:46 +0000,1 instances of the Factory Pattern were ADDED,1 instances of the Method Pattern were ADDED,
Cassandra,1f073123f61dd7245d1412adbccd4be2337705cf,Pavel Yaskevich,[CASSANDRA-2256] BRAF assertion error,BRAF assertion error,CASSANDRA-2256,Bug,Mon- 28 Feb 2011 21:29:06 +0000,Thu- 3 Mar 2011 16:44:20 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,c5f4f3b2be60652b380806c6928d8ec480d06941,Gary Dusbabek,[CASSANDRA-2228] Race conditions when reinitialisating nodes (OOM + Nullpointer),Race conditions when reinitialisating nodes (OOM + Nullpointer),CASSANDRA-2228,Bug,Wed- 23 Feb 2011 15:50:49 +0000,Thu- 3 Mar 2011 22:59:53 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,c75b0c1d2b91d6101d6527b8c24fee2d0234b4ab,Brandon Williams,[CASSANDRA-2270] nodetool info NPE when node isn't fully booted,nodetool info NPE when node isn't fully booted,CASSANDRA-2270,Bug,Fri- 4 Mar 2011 01:16:33 +0000,Fri- 4 Mar 2011 20:43:07 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,0d6db4a68f1d66da789c037d8340c682f21253ba,Peter Schuller,[CASSANDRA-2013] Add CL.TWO- CL.THREE- tweak CL documentation,Add CL.TWO- CL.THREE- tweak CL documentation,CASSANDRA-2013,Improvement,Thu- 20 Jan 2011 01:17:55 +0000,Fri- 4 Mar 2011 21:18:24 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,d96b41aee801b75956adc7e78e38513d047e8695,Pavel Yaskevich,[CASSANDRA-2266] Add standard deviation to column names/values in stress.java,Add standard deviation to column names/values in stress.java,CASSANDRA-2266,Improvement,Thu- 3 Mar 2011 20:42:05 +0000,Fri- 4 Mar 2011 23:09:44 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,f516cc845228555d89d16c9106a094e42bcf1c9a,Benjamin Coverston,[CASSANDRA-2168] SSTable2Json tool returns a different key when a querying for a specific key in an SSTable that does not exist,SSTable2Json tool returns a different key when a querying for a specific key in an SSTable that does not exist,CASSANDRA-2168,Bug,Tue- 15 Feb 2011 19:19:44 +0000,Sat- 5 Mar 2011 05:34:45 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,cb71747c88efc7ad3e7dda67316855d6571aadfc,Yang Yang,[CASSANDRA-1872] Provide ability send notifications via JMX when an SSTable is written,Provide ability send notifications via JMX when an SSTable is written,CASSANDRA-1872,Improvement,Thu- 16 Dec 2010 23:58:32 +0000,Fri- 11 Mar 2011 18:05:57 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,1729edd64b933685386abd1140fc83c657b9a6a7,Matt Kennedy,[CASSANDRA-2276] Pig memory issues with default LIMIT and large rows.,Pig memory issues with default LIMIT and large rows.,CASSANDRA-2276,Improvement,Sat- 5 Mar 2011 04:31:58 +0000,Tue- 8 Mar 2011 04:28:03 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,7eb445bfc9cbec31c239209cc5ca0699a83b9ac4,Aaron Morton,[CASSANDRA-2007] Move demo Keyspace1 definition from casandra.yaml to an input file for cassandra-cli,Move demo Keyspace1 definition from casandra.yaml to an input file for cassandra-cli,CASSANDRA-2007,Improvement,Wed- 19 Jan 2011 09:05:52 +0000,Tue- 8 Mar 2011 18:14:03 +0000,1 instances of the Factory Pattern were ADDED,1 instances of the Method Pattern were ADDED,
Cassandra,756471f7f3f51affee1fc2aaec19d4f9ce6df546,Sylvain Lebresne,[CASSANDRA-2292] Connections are not reset if a node is restarted but we had not marked it down,Connections are not reset if a node is restarted but we had not marked it down,CASSANDRA-2292,Bug,Tue- 8 Mar 2011 19:49:45 +0000,Tue- 8 Mar 2011 20:40:27 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,5e75a7f9f079e363e6ce5f5e95cd36765ffad95c,Tommy Tynjä,[CASSANDRA-1257] Remove @Override annotations when implementing interfaces,Remove @Override annotations when implementing interfaces,CASSANDRA-1257,Task,Wed- 7 Jul 2010 15:58:17 +0000,Tue- 8 Mar 2011 21:16:07 +0000,1 instances of the Factory Pattern were ADDED,1 instances of the Method Pattern were ADDED,
Cassandra,4618b41ea9374e09ee61e569da9ca4a4fedf81ed,Stu Hood,[CASSANDRA-2289] Replicate on write NPE for empty row,Replicate on write NPE for empty row,CASSANDRA-2289,Bug,Tue- 8 Mar 2011 19:00:33 +0000,Wed- 9 Mar 2011 15:24:29 +0000,1 instances of the Factory Pattern were ADDED,1 instances of the Method Pattern were ADDED,1 instances of the Flyweight Pattern were REMOVED,
Cassandra,97e82b194dcd1fe585923978169fcd8fc66f4a81,Stephen Connolly,[CASSANDRA-2298] Allow running the build with test failures ignored,Allow running the build with test failures ignored,CASSANDRA-2298,Improvement,Wed- 9 Mar 2011 12:12:48 +0000,Wed- 9 Mar 2011 20:45:15 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,b455745738b591d992eab22f26d541ff9699a684,Jeremy Hanna,[CASSANDRA-2303] rename pig jar now that it is both input and output,rename pig jar now that it is both input and output,CASSANDRA-2303,Improvement,Thu- 10 Mar 2011 00:45:31 +0000,Thu- 10 Mar 2011 01:10:37 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,c7df15da536d239ebadaad68e4ce09ad5db9bf46,Jonathan Ellis,[CASSANDRA-2304] sstable2json dies with "Too many open files"- regardless of ulimit,sstable2json dies with "Too many open files"- regardless of ulimit,CASSANDRA-2304,Bug,Thu- 10 Mar 2011 00:54:22 +0000,Thu- 10 Mar 2011 17:13:27 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,2c9fb38e14af1f4dc876ab446ead0390ecdd0182,Unassigned,[CASSANDRA-2310] CassandraStorage for pig checks for environment variable on mappers/reducers- but it should only need to be set on the machine launching pig.,CassandraStorage for pig checks for environment variable on mappers/reducers- but it should only need to be set on the machine launching pig.,CASSANDRA-2310,Bug,Thu- 10 Mar 2011 19:14:01 +0000,Thu- 10 Mar 2011 20:47:38 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,402e1edeb7302112e6ea532bf77f1d6a3eb81c78,Sylvain Lebresne,[CASSANDRA-1924] Broken keyspace strategy_option with zero replicas,Broken keyspace strategy_option with zero replicas,CASSANDRA-1924,Bug,Thu- 30 Dec 2010 22:59:28 +0000,Fri- 11 Mar 2011 18:18:37 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,541e0b38d33c4035d1241ef8fe38a2c23e054454,Jonathan Ellis,[CASSANDRA-2320] Dropping an index leaves index in Built state in system table,Dropping an index leaves index in Built state in system table,CASSANDRA-2320,Bug,Sun- 13 Mar 2011 04:43:57 +0000,Mon- 14 Mar 2011 19:58:18 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,3947dba35b605ad365e62d4c875ff76685bf69c9,Gary Dusbabek,[CASSANDRA-2258] service.SerializationsTest failes under cobertura,service.SerializationsTest failes under cobertura,CASSANDRA-2258,Bug,Tue- 1 Mar 2011 21:39:23 +0000,Tue- 15 Mar 2011 13:07:32 +0000,1 instances of the Factory Pattern were ADDED,1 instances of the Method Pattern were ADDED,
Cassandra,0c1d0dba6cff82e9f3c818915ee8c09f441c7491,Gary Dusbabek,[CASSANDRA-2258] service.SerializationsTest failes under cobertura,service.SerializationsTest failes under cobertura,CASSANDRA-2258,Bug,Tue- 1 Mar 2011 21:39:23 +0000,Tue- 15 Mar 2011 13:07:32 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,f84aed6d44976b1017b5139e151ac1ed701a0ca7,Brandon Williams,[CASSANDRA-2330] Queue indexes for flush before the parent,Queue indexes for flush before the parent,CASSANDRA-2330,Improvement,Tue- 15 Mar 2011 16:45:10 +0000,Tue- 15 Mar 2011 17:37:08 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,4ef269d017db15ddf83466fa71e2bdb35ee98ab5,Jonathan Ellis,[CASSANDRA-2333] Clean up thread pool and queue sizes,Clean up thread pool and queue sizes,CASSANDRA-2333,Bug,Tue- 15 Mar 2011 18:11:38 +0000,Wed- 23 Mar 2011 16:22:41 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,6184b17aab814bb5d7ea8b68e53e005554b0bb7d,Unassigned,[CASSANDRA-1954] Double-check or replace RRW memtable lock,Double-check or replace RRW memtable lock,CASSANDRA-1954,Improvement,Sat- 8 Jan 2011 03:34:32 +0000,Sat- 11 Jun 2011 14:08:46 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,3f885885b49968917af12cc0830ce482fa2b2ce7,Benjamin Coverston,[CASSANDRA-2337] Windows: CliTest broken because of /r/n,Windows: CliTest broken because of /r/n,CASSANDRA-2337,Bug,Wed- 16 Mar 2011 01:53:21 +0000,Thu- 17 Mar 2011 02:38:48 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,a0498517f2feb70db1ad0cad5417577b11cd74cc,Roland Gude,[CASSANDRA-2347] index scan uses incorrect comparator on non-indexed expressions,index scan uses incorrect comparator on non-indexed expressions,CASSANDRA-2347,Bug,Thu- 17 Mar 2011 03:35:00 +0000,Fri- 18 Mar 2011 02:55:52 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,0d443b037611bd3576b21fa17fecd27366eb7878,Jonathan Ellis,[CASSANDRA-2365] ByteBufferUtil.read(byte[]) returns 0 when the end of the stream has been reached.,ByteBufferUtil.read(byte[]) returns 0 when the end of the stream has been reached.,CASSANDRA-2365,Bug,Tue- 22 Mar 2011 18:23:30 +0000,Wed- 23 Mar 2011 02:29:56 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,e8b42ca60c72bc8e8309476bd2088891576ce24d,Sylvain Lebresne,[CASSANDRA-2341] Cli support for counters,Cli support for counters,CASSANDRA-2341,Improvement,Wed- 16 Mar 2011 13:50:58 +0000,Wed- 23 Mar 2011 15:41:17 +0000,1 instances of the Factory Pattern were ADDED,1 instances of the Method Pattern were ADDED,
Cassandra,abebf52c9575d2016a0b2cfe1a7bc060d6b2698d,Stu Hood,[CASSANDRA-2366] Remove more uses of SSTableUtils.writeRaw,Remove more uses of SSTableUtils.writeRaw,CASSANDRA-2366,Improvement,Tue- 22 Mar 2011 20:55:43 +0000,Wed- 23 Mar 2011 18:19:11 +0000,1 instances of the Factory Pattern were ADDED,1 instances of the Method Pattern were ADDED,
Cassandra,7a7dd17d0d00e226208eabb9c916c31287350a9b,Pavel Yaskevich,[CASSANDRA-2358] CLI doesn't handle inserting negative integers,CLI doesn't handle inserting negative integers,CASSANDRA-2358,Bug,Sun- 20 Mar 2011 06:36:57 +0000,Thu- 31 Mar 2011 18:41:12 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,7d7de37d91310b8c8bac679ebce0c3b9dacc036e,Pavel Yaskevich,[CASSANDRA-2345] CLI: Units on show keyspaces output,CLI: Units on show keyspaces output,CASSANDRA-2345,Improvement,Wed- 16 Mar 2011 23:00:04 +0000,Wed- 23 Mar 2011 21:47:16 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,e05fb25675bf20567b530ed862116d0607841ad1,Brandon Williams,[CASSANDRA-2377] NPE During Repair In StreamReplyVerbHandler,NPE During Repair In StreamReplyVerbHandler,CASSANDRA-2377,Bug,Thu- 24 Mar 2011 06:57:42 +0000,Thu- 24 Mar 2011 18:59:55 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,37d063ee97e9521d3fb84d1427f3ef4adc0939b9,Jonathan Ellis,[CASSANDRA-2382] statistics component not fsynced,statistics component not fsynced,CASSANDRA-2382,Bug,Fri- 25 Mar 2011 03:28:35 +0000,Thu- 7 Apr 2011 15:36:50 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,469f947cf7322f0f5edae7331972a14a66040a49,Jonathan Ellis,[CASSANDRA-2390] MarshalException is thrown when cassandra-cli creates the example Keyspace specified by conf/schema-sample.txt,MarshalException is thrown when cassandra-cli creates the example Keyspace specified by conf/schema-sample.txt,CASSANDRA-2390,Bug,Sat- 26 Mar 2011 16:31:21 +0000,Sun- 27 Mar 2011 05:28:56 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,2287fe0044117592a38bb07f06672b3a9211d38a,Sylvain Lebresne,[CASSANDRA-2105] Fix the read race condition in CFStore for counters ,Fix the read race condition in CFStore for counters ,CASSANDRA-2105,Bug,Thu- 3 Feb 2011 10:51:07 +0000,Mon- 28 Mar 2011 14:45:59 +0000,1 instances of the Factory Pattern were ADDED,1 instances of the Method Pattern were ADDED,
Cassandra,8e180e8764d2dffd6c71ca399b51c24dcee268d6,Jonathan Ellis,[CASSANDRA-2376] Both name an index iterators cast block offset to int,Both name an index iterators cast block offset to int,CASSANDRA-2376,Bug,Thu- 24 Mar 2011 04:55:01 +0000,Mon- 28 Mar 2011 16:15:04 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,92da3e2d60a37999110648528fc7cb7659dd66e6,Jonathan Ellis,[CASSANDRA-2381] orphaned data files may be created during migration race,orphaned data files may be created during migration race,CASSANDRA-2381,Bug,Thu- 24 Mar 2011 20:55:56 +0000,Mon- 28 Mar 2011 19:07:03 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,f60187d4d56395f25c45ab26422ac8e7d72f5c9c,Sylvain Lebresne,[CASSANDRA-2321] disallow to querying a counter CF with non-counter operation,disallow to querying a counter CF with non-counter operation,CASSANDRA-2321,Bug,Sun- 13 Mar 2011 05:27:53 +0000,Tue- 29 Mar 2011 20:39:25 +0000,1 instances of the Factory Pattern were ADDED,1 instances of the Method Pattern were ADDED,
Cassandra,acde48fb3db47e3c523b9e2b5fddb1517d7d9f64,Pavel Yaskevich,[CASSANDRA-2323] stress.java should not allow arbitrary arguments,stress.java should not allow arbitrary arguments,CASSANDRA-2323,Bug,Mon- 14 Mar 2011 17:01:32 +0000,Wed- 30 Mar 2011 16:56:26 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,f674bcc07220ea7accc086406f1d99cfa6578a5f,Joaquin Casares,[CASSANDRA-2414] IntegerType isn't noted in cli,IntegerType isn't noted in cli,CASSANDRA-2414,Improvement,Fri- 1 Apr 2011 23:31:35 +0000,Mon- 4 Apr 2011 13:21:22 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,5e8361bbcb142e06b46bd72263b0826acc5b390f,Jeremy Hanna,[CASSANDRA-2387] Make it possible for pig to understand packed data,Make it possible for pig to understand packed data,CASSANDRA-2387,Improvement,Fri- 25 Mar 2011 18:33:33 +0000,Mon- 4 Apr 2011 21:53:44 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,4d1af49b98e6c0cb6b1908645d321bd21b448e4c,Vijay,[CASSANDRA-1969] Use BB for row cache - To Improve GC performance.,Use BB for row cache - To Improve GC performance.,CASSANDRA-1969,Improvement,Tue- 11 Jan 2011 22:06:15 +0000,Wed- 6 Apr 2011 18:16:53 +0000,1 instances of the Factory Pattern were ADDED,1 instances of the Method Pattern were ADDED,
Cassandra,ee1bb5aa95b1975981b31c13a08df069d520894f,Jonathan Ellis,[CASSANDRA-2413] Reduce default memtable size,Reduce default memtable size,CASSANDRA-2413,Bug,Fri- 1 Apr 2011 16:51:04 +0000,Tue- 5 Apr 2011 15:30:22 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,bdba69ff8d59c975bdfb5ba60d3435c757633209,Jonathan Ellis,[CASSANDRA-2417] convert mmap assertion to if/throw,convert mmap assertion to if/throw,CASSANDRA-2417,Bug,Tue- 5 Apr 2011 14:06:10 +0000,Tue- 5 Apr 2011 17:29:00 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,7e1e4b95195251bd6f56d30f504ade09ef6a7b3f,Jeremy Hanna,[CASSANDRA-2421] make sure we get the output schema when we output to cassandra from pig,make sure we get the output schema when we output to cassandra from pig,CASSANDRA-2421,Bug,Tue- 5 Apr 2011 21:44:54 +0000,Tue- 5 Apr 2011 21:59:53 +0000,1 instances of the Factory Pattern were REMOVED,1 instances of the Method Pattern were REMOVED,
Cassandra,9c9e79b357fd78a142cef4123e8f56333ff79032,Stu Hood,[CASSANDRA-2422] SSTables per read metric is incorrect,SSTables per read metric is incorrect,CASSANDRA-2422,Bug,Tue- 5 Apr 2011 22:25:23 +0000,Tue- 5 Apr 2011 22:47:11 +0000,1 instances of the Factory Pattern were ADDED,1 instances of the Method Pattern were ADDED,
Cassandra,80d3decdfe70b12422c24cd71405aecc5a02b97e,Vijay,[CASSANDRA-1969] Use BB for row cache - To Improve GC performance.,Use BB for row cache - To Improve GC performance.,CASSANDRA-1969,Improvement,Tue- 11 Jan 2011 22:06:15 +0000,Wed- 6 Apr 2011 18:16:53 +0000,1 instances of the Factory Pattern were ADDED,1 instances of the Method Pattern were ADDED,1 instances of the Mediator Pattern were ADDED,
