Project;CommitID;Developer;Title;Summary;IssueKey;IssueType;CreatedDate;ResolvedDate;PatternChanges
Hadoop HDFS;c33374507739c9caedc87f9f2d6e47a6c9d9baf8;Tsz-wo Sze;[HDFS-562] Add a test for NameNode.getBlockLocations(..) to check read from un-closed file.;Add a test for NameNode.getBlockLocations(..) to check read from un-closed file.;HDFS-562;Sub-task;Fri- 21 Aug 2009 21:28:17 +0000;Tue- 25 Aug 2009 18:21:43 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;eb4d167111385a67b9f2733611aadddf1a63fbe0;Amareshwari Sriramadasu;[HDFS-568] TestServiceLevelAuthorization fails on latest build in Hudson;TestServiceLevelAuthorization fails on latest build in Hudson;HDFS-568;Bug;Tue- 25 Aug 2009 18:50:35 +0000;Fri- 28 Aug 2009 17:49:59 +0000;1 instances of the Mediator Pattern were REMOVED
Hadoop HDFS;637a38a43dac2cc246a3e002b27bcc72f99a321a;Konstantin Shvachko;[HDFS-576] Extend Block report to include under-construction replicas;Extend Block report to include under-construction replicas;HDFS-576;Sub-task;Thu- 27 Aug 2009 21:00:48 +0000;Tue- 8 Sep 2009 22:48:36 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;ceb1c08a784b22fd0b1eb25cc303458b37de74a9;Konstantin Shvachko;[HDFS-576] Extend Block report to include under-construction replicas;Extend Block report to include under-construction replicas;HDFS-576;Sub-task;Thu- 27 Aug 2009 21:00:48 +0000;Tue- 8 Sep 2009 22:48:36 +0000;1 instances of the Mediator Pattern were REMOVED
Hadoop HDFS;ff85e557fc8f235f480234076f47231cdd8c5bfc;Owen O'Malley;[HDFS-641] Move all of the benchmarks and tests that depend on mapreduce to mapreduce;Move all of the benchmarks and tests that depend on mapreduce to mapreduce;HDFS-641;Bug;Tue- 22 Sep 2009 17:59:13 +0000;Sat- 14 Nov 2009 00:19:23 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;2c6aa4eb2651181a9c701fece74cc20e91882804;Hairong Kuang;[HDFS-637] DataNode sends a Success ack when block write fails;DataNode sends a Success ack when block write fails;HDFS-637;Bug;Mon- 21 Sep 2009 06:00:13 +0000;Wed- 23 Sep 2009 23:32:57 +0000;1 instances of the Mediator Pattern were REMOVED
Hadoop HDFS;cc07fe635f3ba5d7abf7c8f1953fc46ea2f19dc5;Tsz-wo Sze;[HDFS-570] When opening a file for read- make the file length avaliable to client.;When opening a file for read- make the file length avaliable to client.;HDFS-570;Sub-task;Wed- 26 Aug 2009 00:34:33 +0000;Sat- 26 Sep 2009 23:44:56 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;8cfd45906682b7a2a0e3cd73e9e852b2bceaa498;Konstantin Shvachko;[HDFS-657] Remove unused legacy protocol methods.;Remove unused legacy protocol methods.;HDFS-657;Sub-task;Sun- 27 Sep 2009 02:08:51 +0000;Sun- 27 Sep 2009 02:25:42 +0000;1 instances of the Mediator Pattern were REMOVED
Hadoop HDFS;de0ca02b5b3a4b765ec4795c9e24f4550ef1c2e0;Tsz-wo Sze;[HDFS-710] Add actions with constraints to the pipeline fault injection tests;Add actions with constraints to the pipeline fault injection tests;HDFS-710;Test;Thu- 15 Oct 2009 21:33:55 +0000;Fri- 16 Oct 2009 21:07:36 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;f46fd3503744b580059ef9aa1710c4b4011e1044;Dhruba Borthakur;[HDFS-695] RaidNode should read in configuration from hdfs-site.xml;RaidNode should read in configuration from hdfs-site.xml;HDFS-695;Bug;Mon- 12 Oct 2009 20:13:56 +0000;Wed- 21 Oct 2009 08:58:17 +0000;1 instances of the Mediator Pattern were REMOVED
Hadoop HDFS;57fe80c673eed7bc83ea37c24970b42f1451b35f;Tsz-wo Sze;[HDFS-719] Add more fault injection tests for pipeline close;Add more fault injection tests for pipeline close;HDFS-719;Sub-task;Tue- 20 Oct 2009 23:35:33 +0000;Wed- 21 Oct 2009 20:12:43 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;335ca495bde6976cc0fe6f48727128dd964e0730;Hairong Kuang;"[HDFS-690] TestAppend2#testComplexAppend failed on ""Too many open files""";"TestAppend2#testComplexAppend failed on ""Too many open files""";HDFS-690;Bug;Fri- 9 Oct 2009 21:14:32 +0000;Fri- 23 Oct 2009 04:09:59 +0000;1 instances of the Mediator Pattern were REMOVED
Hadoop HDFS;9df4e54aa24748b186837df8574e5d2d4bb351cb;Konstantin Shvachko;[HDFS-512] Set block id as the key to Block;Set block id as the key to Block;HDFS-512;Improvement;Wed- 29 Jul 2009 17:05:50 +0000;Fri- 23 Oct 2009 19:31:22 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;7a0855e20a346a9fa6a95b2114192a909632aab8;Suresh Srinivas;[HDFS-654] HDFS needs to support new rename introduced for FileContext;HDFS needs to support new rename introduced for FileContext;HDFS-654;New Feature;Fri- 25 Sep 2009 00:54:52 +0000;Fri- 23 Oct 2009 21:21:55 +0000;1 instances of the Mediator Pattern were REMOVED
Hadoop HDFS;4d6da77b6561cad1424a6bc65c13d85a26362182;Hairong Kuang;[HDFS-723] Deadlock in DFSClient#DFSOutputStream;Deadlock in DFSClient#DFSOutputStream;HDFS-723;Bug;Wed- 21 Oct 2009 20:50:09 +0000;Mon- 26 Oct 2009 21:44:10 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;8969fd33ade2e649aabed7a57f6cc36737f50310;Tsz-wo Sze;[HDFS-730] Add fault injection tests for pipleline close ack;Add fault injection tests for pipleline close ack;HDFS-730;Sub-task;Fri- 23 Oct 2009 22:33:02 +0000;Mon- 26 Oct 2009 18:20:34 +0000;1 instances of the Mediator Pattern were REMOVED
Hadoop HDFS;8edb20a50963e208ddcba45593600b2e5df8de8f;Jitendra Nath Pandey;[HDFS-737] Improvement in metasave output;Improvement in metasave output;HDFS-737;Improvement;Mon- 26 Oct 2009 22:23:26 +0000;Thu- 29 Oct 2009 22:43:59 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;67b896c75e12a4a28b9fdf12f1249ea2bd0624b0;Konstantin Shvachko;[HDFS-736] commitBlockSynchronization() should directly update block GS and length.;commitBlockSynchronization() should directly update block GS and length.;HDFS-736;Improvement;Mon- 26 Oct 2009 21:44:35 +0000;Fri- 30 Oct 2009 00:35:05 +0000;1 instances of the Mediator Pattern were REMOVED
Hadoop HDFS;f20b325c3847c66eff7e939b74a5a395553315d7;Konstantin I Boudnik;[HDFS-521] Create new tests for pipeline;Create new tests for pipeline;HDFS-521;Sub-task;Mon- 3 Aug 2009 22:04:07 +0000;Mon- 2 Nov 2009 18:54:26 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;c08188db3363fa446cac8577bc1d5ef8f6c04d51;Sanjay Radia;[HDFS-702] Add Hdfs Impl for the new file system interface;Add Hdfs Impl for the new file system interface;HDFS-702;New Feature;Tue- 13 Oct 2009 01:10:43 +0000;Mon- 2 Nov 2009 21:46:44 +0000;1 instances of the Mediator Pattern were REMOVED
Hadoop HDFS;67dffa3e39c4fcd87ffa54835a46b3c0b1dabf8e;Zheng Shao;[HDFS-611] Heartbeats times from Datanodes increase when there are plenty of blocks to delete;Heartbeats times from Datanodes increase when there are plenty of blocks to delete;HDFS-611;Bug;Thu- 10 Sep 2009 08:06:41 +0000;Tue- 10 Nov 2009 07:40:22 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;0f1ca03f68fb0f499f23a89ffeb43f06a79c9bf0;Konstantin I Boudnik;[HDFS-774] Intermittent race condition in TestFiPipelines;Intermittent race condition in TestFiPipelines;HDFS-774;Bug;Mon- 16 Nov 2009 18:09:14 +0000;Mon- 16 Nov 2009 21:40:09 +0000;1 instances of the Mediator Pattern were REMOVED
Hadoop HDFS;6e3aa3ec2b61c624588f5867962f24e412279e9e;Konstantin I Boudnik;[HDFS-741] TestHFlush test doesn't seek() past previously written part of the file;TestHFlush test doesn't seek() past previously written part of the file;HDFS-741;Bug;Wed- 28 Oct 2009 23:56:52 +0000;Mon- 16 Nov 2009 22:29:29 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;817e892077a8c9f3abcd4408ea3f0d94f748ce49;Jitendra Nath Pandey;[HDFS-758] Improve reporting of progress of decommissioning;Improve reporting of progress of decommissioning;HDFS-758;Improvement;Mon- 9 Nov 2009 20:33:07 +0000;Thu- 7 Jan 2010 01:34:51 +0000;1 instances of the Mediator Pattern were REMOVED
Hadoop HDFS;fedcebb1a7139164ad199b87b72aba76acb4f8da;Tsz-wo Sze;[HDFS-813] Enable the append test in TestReadWhileWriting;Enable the append test in TestReadWhileWriting;HDFS-813;Test;Tue- 8 Dec 2009 02:09:52 +0000;Wed- 9 Dec 2009 18:56:02 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;c344d269c457117eae9de38a6e91b60310f9a655;Hairong Kuang;[HDFS-724] Pipeline close hangs if one of the datanode is not responsive.;Pipeline close hangs if one of the datanode is not responsive.;HDFS-724;Bug;Wed- 21 Oct 2009 23:58:38 +0000;Mon- 21 Dec 2009 23:50:05 +0000;1 instances of the Mediator Pattern were REMOVED
Hadoop HDFS;ad05d72a8d0abdbac38e64139befeff922bf9fe2;Cosmin Lehene;[HDFS-630] In DFSOutputStream.nextBlockOutputStream()- the client can exclude specific datanodes when locating the next block.;In DFSOutputStream.nextBlockOutputStream()- the client can exclude specific datanodes when locating the next block.;HDFS-630;Improvement;Fri- 18 Sep 2009 07:05:53 +0000;Tue- 26 Jan 2010 06:21:09 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;47526e7cc3562cf9552f20a03e563992a5b3607c;Hairong Kuang;[HDFS-101] DFS write pipeline : DFSClient sometimes does not detect second datanode failure ;DFS write pipeline : DFSClient sometimes does not detect second datanode failure ;HDFS-101;Bug;Mon- 19 May 2008 18:09:01 +0000;Tue- 22 Dec 2009 00:00:58 +0000;1 instances of the Mediator Pattern were REMOVED
Hadoop HDFS;af9b730398463658ab4cfe41daa8ab0f98548627;Hairong Kuang;[HDFS-564] Adding pipeline test 17-35;Adding pipeline test 17-35;HDFS-564;Sub-task;Tue- 25 Aug 2009 00:29:01 +0000;Tue- 22 Dec 2009 04:45:07 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;d912542f7a8144570fda377dc39fca900f649904;Steve Loughran;[HDFS-775] FSDataset calls getCapacity() twice -bug?;FSDataset calls getCapacity() twice -bug?;HDFS-775;Bug;Tue- 17 Nov 2009 11:38:30 +0000;Wed- 23 Dec 2009 21:09:49 +0000;1 instances of the Mediator Pattern were REMOVED
Hadoop HDFS;a9bae999032d488d426daad8c3008e4ecc2fd58d;Cristian Ivascu;[HDFS-762] Trying to start the balancer throws a NPE;Trying to start the balancer throws a NPE;HDFS-762;Bug;Tue- 10 Nov 2009 22:52:36 +0000;Wed- 23 Dec 2009 23:14:35 +0000;1 instances of the Mediator Pattern were ADDED
Hadoop HDFS;8bf59c1a84d0cec00bc945590d8eb857ac08b153;Ning Zhang;[HDFS-767] Job failure due to BlockMissingException;Job failure due to BlockMissingException;HDFS-767;Improvement;Thu- 12 Nov 2009 19:43:43 +0000;Mon- 28 Dec 2009 19:45:18 +0000;1 instances of the Mediator Pattern were REMOVED
Hadoop HDFS;5efdad2e8f74cd06e520bdbe094c81e3d99a0e67;Todd Lipcon;[HDFS-187] TestStartup fails if hdfs is running in the same machine;TestStartup fails if hdfs is running in the same machine;HDFS-187;Bug;Sat- 3 Jan 2009 00:04:25 +0000;Thu- 14 Jan 2010 23:46:38 +0000;1 instances of the Mediator Pattern were ADDED
