Project;CommitID;Developer;Title;Summary;IssueKey;IssueType;CreatedDate;ResolvedDate;PatternChanges;Column1;Column2;Column3
MINA;d79b207fbdbf9e5fd3c89dacca808e240ba4f585;Trustin Lee;[DIRMINA-471] Reduce SSL buffers overhead;Reduce SSL buffers overhead;DIRMINA-471;Improvement;Wed- 7 Nov 2007 18:37:00 +0000;Tue- 13 Nov 2007 03:40:04 +0000;2 instances of the Adapter Pattern were REMOVED;1 instances of the Facade Pattern were REMOVED;1 instances of the Flyweight Pattern were REMOVED;
MINA;f58daada3640d0d8caa143fb516e4976e421f8a2;Trustin Lee;[DIRMINA-449] Improve current JMX integration code using new statistical properties.;Improve current JMX integration code using new statistical properties.;DIRMINA-449;Task;Sun- 30 Sep 2007 12:12:08 +0000;Wed- 14 Nov 2007 06:47:09 +0000;2 instances of the Facade Pattern were REMOVED;1 instances of the Flyweight Pattern were REMOVED;;
MINA;2f8af59602e5ca5185c7f580b9ddff28a89de247;Trustin Lee;[DIRMINA-481] ByteBuffer.get/putObject() cannot handler pritimive classes.;ByteBuffer.get/putObject() cannot handler pritimive classes.;DIRMINA-481;Bug;Fri- 16 Nov 2007 01:29:41 +0000;Fri- 16 Nov 2007 01:32:16 +0000;2 instances of the Facade Pattern were REMOVED;1 instances of the Flyweight Pattern were REMOVED;;
MINA;31b6a0d174bfd82406b9706789ae9d00d8a3f737;Maarten Bosteels;[DIRMINA-510] Spring version of chat example breaks;Spring version of chat example breaks;DIRMINA-510;Bug;Thu- 10 Jan 2008 21:36:34 +0000;Fri- 11 Jan 2008 22:42:31 +0000;1 instances of the Proxy Pattern were REMOVED;1 instances of the Strategy Pattern were REMOVED;;
MINA;ec14b595de20c1e01adf627a15b5c14d7ae54fa2;Maarten Bosteels;[DIRMINA-513] get rid of IoSessionLogger ;get rid of IoSessionLogger ;DIRMINA-513;Improvement;Tue- 15 Jan 2008 08:30:16 +0000;Mon- 11 Feb 2008 21:39:20 +0000;2 instances of the Bridge Pattern were REMOVED;3 instances of the Facade Pattern were REMOVED;1 instances of the Proxy Pattern were ADDED;1 instances of the Strategy Pattern were REMOVED
MINA;48366b31f2064777702e261aef79244d62bb8903;Maarten Bosteels;[DIRMINA-513] get rid of IoSessionLogger ;get rid of IoSessionLogger ;DIRMINA-513;Improvement;Tue- 15 Jan 2008 08:30:16 +0000;Mon- 11 Feb 2008 21:39:20 +0000;2 instances of the Bridge Pattern were ADDED;3 instances of the Facade Pattern were ADDED;1 instances of the Strategy Pattern were ADDED;
MINA;c3a0c7444dc12a1ae6c0d8099d564538a773c892;Mike Heath;[DIRMINA-525] AbstractIoSession.increaseWrittenBytesAndMessages does not update writtenBytes for FileRegion;AbstractIoSession.increaseWrittenBytesAndMessages does not update writtenBytes for FileRegion;DIRMINA-525;Bug;Fri- 1 Feb 2008 21:29:59 +0000;Thu- 14 Feb 2008 17:17:54 +0000;2 instances of the Bridge Pattern were ADDED;3 instances of the Facade Pattern were ADDED;1 instances of the Strategy Pattern were ADDED;
MINA;f4078e0a76014564f3daa69c0b1a975942ed16a0;Trustin Lee;[DIRMINA-530] Compression filter - trivial bug fix and fix for use with SSL;Compression filter - trivial bug fix and fix for use with SSL;DIRMINA-530;Bug;Wed- 13 Feb 2008 23:00:47 +0000;Wed- 20 Feb 2008 03:16:57 +0000;2 instances of the Bridge Pattern were REMOVED;3 instances of the Facade Pattern were REMOVED;1 instances of the Proxy Pattern were REMOVED;1 instances of the Strategy Pattern were REMOVED
MINA;1d82343383f157b3c91e1a96b1fb0e51ad2cef60;Trustin Lee;[DIRMINA-522] Remove unused code in RequestResponseFilter;Remove unused code in RequestResponseFilter;DIRMINA-522;Bug;Tue- 29 Jan 2008 01:08:50 +0000;Wed- 20 Feb 2008 03:37:34 +0000;2 instances of the Bridge Pattern were ADDED;3 instances of the Facade Pattern were ADDED;1 instances of the Strategy Pattern were ADDED;
MINA;02e2624c0adb669647525fab51d13d88b39221be;Mark Webb;[DIRMINA-527] should be able to set connect timeout in milliseconds;should be able to set connect timeout in milliseconds;DIRMINA-527;Improvement;Tue- 5 Feb 2008 19:46:11 +0000;Tue- 11 Mar 2008 02:29:57 +0000;1 instances of the Proxy Pattern were REMOVED;;;
MINA;6ac1e8b309fe3044f71197c58a0f09e07079fb01;Trustin Lee;[DIRMINA-542] ArrayIndexOutOfBoundsException in CircularQueue.shrinkIfNeeded();ArrayIndexOutOfBoundsException in CircularQueue.shrinkIfNeeded();DIRMINA-542;Bug;Mon- 10 Mar 2008 06:32:12 +0000;Mon- 10 Mar 2008 06:33:35 +0000;2 instances of the Facade Pattern were REMOVED;;;
MINA;c0347ddda617cc001368fc7cd21792f49f49ef59;Trustin Lee;[DIRMINA-543] Incorrect sessionCreated event order in VmPipe transport;Incorrect sessionCreated event order in VmPipe transport;DIRMINA-543;Bug;Mon- 10 Mar 2008 07:47:09 +0000;Mon- 10 Mar 2008 09:04:10 +0000;2 instances of the Bridge Pattern were ADDED;3 instances of the Facade Pattern were ADDED;1 instances of the Strategy Pattern were ADDED;
MINA;73cc4a1404c9e295c849f5c921c849d387dd0ae2;Trustin Lee;[DIRMINA-547] Reduce unnecessary thread creation and destruction caused by IdleStatusChecker;Reduce unnecessary thread creation and destruction caused by IdleStatusChecker;DIRMINA-547;Improvement;Tue- 11 Mar 2008 14:00:51 +0000;Tue- 11 Mar 2008 14:02:35 +0000;1 instances of the Proxy Pattern were ADDED;;;
MINA;e08265eaa95f9158c007b5db5499c3a93be3d28e;Trustin Lee;[DIRMINA-529] use isPrimitive() instead of comparing the string to a list of primitives;use isPrimitive() instead of comparing the string to a list of primitives;DIRMINA-529;Improvement;Thu- 7 Feb 2008 10:55:20 +0000;Wed- 12 Mar 2008 03:00:53 +0000;1 instances of the Proxy Pattern were REMOVED;;;
